startup_name;date_incorporated
EnFin GmbH;2017-07-26
HUBTIC GmbH;2017-07-26
is it fresh GmbH;2017-07-26
Pets Deli Tonius GmbH;2017-07-26
Wasabi Elements GmbH;2017-07-26
Bliq GmbH;2017-07-25
Cambras GmbH;2017-07-25
CoolBeez Europe GmbH;2017-07-25
DailyCoach GmbH;2017-07-25
MANTIS CHEMIE GmbH;2017-07-25
PPC Rocket GmbH;2017-07-25
Protosignal GmbH;2017-07-25
recogate GmbH;2017-07-25
SCAN4FIN GmbH;2017-07-25
Studisteuer GmbH & Co. KG;2017-07-25
Vertanical GmbH;2017-07-25
XTRABIKE UG (haftungsbeschränkt);2017-07-25
Avory Labs UG (haftungsbeschränkt);2017-07-24
Blockchain Powered Solutions GmbH;2017-07-24
classplash GmbH;2017-07-24
CoreWillSoft GmbH;2017-07-24
HS-Drives GmbH;2017-07-24
KRAFT GmbH;2017-07-24
MedEngine GmbH;2017-07-24
Starwerk GmbH;2017-07-24
brightee UG (haftungsbeschränkt);2017-07-22
Colorimetrix GmbH;2017-07-22
frequi GmbH & Co. KG;2017-07-22
AKUA Software UG (haftungsbeschränkt) & Co. KG;2017-07-21
EcoG GmbH;2017-07-21
efabu GmbH;2017-07-21
Gapster GmbH;2017-07-21
Gymbassador GmbH;2017-07-21
HY STUDIO GmbH;2017-07-21
Kaya Biotics GmbH;2017-07-21
Lamoro GmbH;2017-07-21
Rehappy GmbH;2017-07-21
root-nine GmbH;2017-07-21
Uniberry GmbH;2017-07-21
Unisphere GmbH;2017-07-21
Yard GmbH;2017-07-21
Goldbackcard Systeme GmbH;2017-07-20
RICHMOND FIRE International GmbH;2017-07-20
selenOmed GmbH;2017-07-20
Your Driver GmbH;2017-07-20
Agile Robots AG;2017-07-19
Ahead GmbH;2017-07-19
cellumation GmbH;2017-07-19
JustSnap GmbH;2017-07-19
movelab GmbH;2017-07-19
Pham & Schild GmbH;2017-07-19
Renosys GmbH & Co. KG;2017-07-19
S17 Software UG (haftungsbeschränkt);2017-07-19
Singularity HR Research & Technology UG (haftungsbeschränkt);2017-07-19
swarmOS GmbH;2017-07-19
TrackCode GmbH;2017-07-19
HORSEMEDIA GmbH;2017-07-18
HQ-Europe GmbH;2017-07-18
INFUSED ENERGY TEA BLENDS GmbH;2017-07-18
Liebkind UG (haftungsbeschränkt);2017-07-18
M-TRIBES GmbH;2017-07-18
REFINIO GmbH;2017-07-18
Spantium GmbH;2017-07-18
Super Etage GmbH;2017-07-18
Tokeya Deep Data Dive GmbH & Co. KG;2017-07-18
Young Jobs UG (haftungsbeschränkt);2017-07-18
Athlyzer GmbH;2017-07-17
b´nerd GmbH;2017-07-17
Clever Home Labs GmbH;2017-07-17
data glasses Zwickau UG (haftungsbeschränkt);2017-07-17
EntoNative GmbH;2017-07-17
German Rugs GmbH;2017-07-17
Med-All International UG (haftungsbeschränkt);2017-07-17
MEDWING GmbH;2017-07-17
Nevo Design GmbH;2017-07-17
Obob UG (haftungsbeschränkt);2017-07-17
VRketing GmbH;2017-07-17
DSM-Online GmbH;2017-07-15
koupio UG (haftungsbeschränkt);2017-07-15
Peak Rider UG (haftungsbeschränkt);2017-07-15
Qwello GmbH;2017-07-15
SHOPSCOPE GmbH;2017-07-15
1A Ladetechnik GmbH;2017-07-14
evolu software GmbH;2017-07-14
Leiano GmbH;2017-07-14
Luko Insurance AG;2017-07-14
Nuasign GmbH;2017-07-14
POWIDO (Germany) GmbH;2017-07-14
rooem GmbH;2017-07-14
smartxocolate.GmbH;2017-07-14
Sterichem GmbH;2017-07-14
AskBy GmbH;2017-07-13
Brighter AI Technologies GmbH;2017-07-13
CMP International AG;2017-07-13
Helios Avionics GmbH;2017-07-13
inTras-Golf UG (haftungsbeschränkt) & Co. KG;2017-07-13
Logisticator GmbH;2017-07-13
mySCHNITZELJAGD UG (haftungsbeschränkt);2017-07-13
SCHNALZ Audio GmbH;2017-07-13
ViPiBaX GmbH;2017-07-13
connactivities UG (haftungsbeschränkt);2017-07-12
Fresh Energy GmbH;2017-07-12
Gravitales GmbH;2017-07-12
Happy Values UG (haftungsbeschränkt);2017-07-12
MFA UG (haftungsbeschränkt);2017-07-12
Nextron Systems GmbH;2017-07-12
PUMPMOVE UG (haftungsbeschränkt);2017-07-12
Stabizym GmbH;2017-07-12
StopApp GmbH;2017-07-12
TopDigi.Org Gesellschaft für digitale Kompetenz UG GmbH;2017-07-12
Etnenos GmbH & Co. KG;2017-07-11
Indigo Optical Systems GmbH;2017-07-11
MyErika GmbH & Co. KG;2017-07-11
northh medical GmbH;2017-07-11
PCZ Technologies GmbH;2017-07-11
Performinc GmbH;2017-07-11
Q-Pet GmbH;2017-07-11
The Engaged Database GmbH;2017-07-11
WILDER HEINRICH GmbH;2017-07-11
f-fex AG;2017-07-10
ForkOn GmbH;2017-07-10
INDEPENDO GmbH;2017-07-10
pandoo GmbH;2017-07-10
Polarstern Education UG (haftungsbeschränkt);2017-07-10
Sharerado UG (haftungsbeschränkt);2017-07-10
RootsGoods.com UG (haftungsbeschränkt);2017-07-08
Audry GmbH;2017-07-07
FATMAP DE GmbH;2017-07-07
Haferkater GmbH;2017-07-07
HUM Systems GmbH;2017-07-07
Legal Hero GmbH;2017-07-07
Projo GmbH;2017-07-07
Steinzeitlos GmbH;2017-07-07
SUPERVISOR Home GmbH;2017-07-07
ALVEONOVA GmbH;2017-07-06
LifeScience Plasma GmbH;2017-07-06
Paketbox & Service GmbH;2017-07-06
Paws & Patch GmbH;2017-07-06
Petsuns UG (haftungsbeschränkt);2017-07-06
Bauvergleich24 UG (haftungsbeschränkt);2017-07-05
cocktailfilms GmbH;2017-07-05
CyberDirekt GmbH;2017-07-05
datamate Service GmbH;2017-07-05
Finocon GmbH;2017-07-05
GOOSE Gourmet GmbH;2017-07-05
Heidelberg Delivery Technologies GmbH;2017-07-05
Keleya Digital-Health Solutions GmbH;2017-07-05
logicscan GmbH;2017-07-05
MindChange technologies GmbH;2017-07-05
Nuventura GmbH;2017-07-05
ODION GmbH;2017-07-05
Soolyn GmbH;2017-07-05
UNIHELD GmbH;2017-07-05
Voadz UG (haftungsbeschränkt);2017-07-05
ArtFlex Software GmbH;2017-07-04
ExoKrypt UG (haftungsbeschränkt);2017-07-04
intratool GmbH;2017-07-04
Juconn GmbH;2017-07-04
swodoc UG (haftungsbeschränkt);2017-07-04
Taverimoto GmbH;2017-07-04
Viper Development UG (haftungsbeschränkt);2017-07-04
OligoScience Biotechnology GmbH;2017-07-03
ROUNDABOUT 24 UG (haftungsbeschränkt);2017-07-03
Spot9 GmbH;2017-07-03
Vision2B GmbH;2017-07-03
medimove GmbH;2017-07-01
Data Lighthouse GmbH;2017-06-30
Karmafant Internet GmbH;2017-06-30
Privacy Und Silence Solutions Yeah! UG (haftungsbeschränkt);2017-06-30
Pura Seeds GmbH;2017-06-30
PYOT Labs GmbH;2017-06-30
troy GmbH;2017-06-30
Truck-Scan GmbH & Co. KG;2017-06-30
turbonik GmbH;2017-06-30
Vindex GmbH;2017-06-30
BAHU GmbH;2017-06-29
BUMA innovation GmbH;2017-06-29
Cynatix GmbH;2017-06-29
Foxpay GmbH;2017-06-29
Fried Elements GmbH;2017-06-29
Made for_ GmbH;2017-06-29
mobileFresh GmbH;2017-06-29
Mozzaik GmbH;2017-06-29
Mushlabs GmbH;2017-06-29
Next Reality GmbH;2017-06-29
PaludiMed GmbH;2017-06-29
ParkEfficient GmbH;2017-06-29
Scap GmbH;2017-06-29
Smart Host GmbH;2017-06-29
Spizza Food UG (haftungsbeschränkt);2017-06-29
Third Element Aviation GmbH;2017-06-29
YU Health GmbH;2017-06-29
Adessa GmbH;2017-06-28
appointer GmbH;2017-06-28
brytes GmbH;2017-06-28
Easyscoring GmbH;2017-06-28
FT Vilstal GmbH;2017-06-28
mcanism technology GmbH;2017-06-28
MicroTec GmbH;2017-06-28
pinnery GmbH;2017-06-28
Polyteia GmbH;2017-06-28
Smicy Appetit GmbH;2017-06-28
sport-job.com GmbH;2017-06-28
Travel to Live UG (haftungsbeschränkt);2017-06-28
bao solutions GmbH;2017-06-27
Covee Financial Data Science GmbH;2017-06-27
EINHUNDERT Energie GmbH;2017-06-27
enyway GmbH;2017-06-27
Hanseatic Food & Beverages GmbH;2017-06-27
Hidden UG (haftungsbeschränkt);2017-06-27
Interactive Performance Deutschland GmbH;2017-06-27
LDTech GmbH;2017-06-27
tybird GmbH;2017-06-27
wesmartify GmbH;2017-06-27
White Technology UG (haftungsbeschränkt);2017-06-27
Winchen Delikatessen GmbH;2017-06-27
Ambiletics GmbH;2017-06-26
AMSIS GmbH;2017-06-26
artrockz GmbH;2017-06-26
CCEX Cloud Commodities Exchange GmbH;2017-06-26
Cyface GmbH;2017-06-26
Fabelwelten UG (haftungsbeschränkt);2017-06-26
Fibrothelium GmbH;2017-06-26
LYOX GmbH;2017-06-26
PryIn UG (haftungsbeschränkt);2017-06-26
Racler Productions GmbH;2017-06-26
raybounce GmbH;2017-06-26
SciMo - Elektrische Hochleistungsantriebe GmbH;2017-06-26
Soul Soda GmbH;2017-06-26
TALENTiMOTION GmbH;2017-06-26
addBots GmbH;2017-06-23
Leapsome GmbH;2017-06-23
OneFiber Interconnect Germany GmbH;2017-06-23
StoryBox GmbH;2017-06-23
STREET PRO GmbH;2017-06-23
TEC4MED LifeScience GmbH;2017-06-23
Volkmann MedizinTechnik GmbH;2017-06-23
Wertschütz GmbH;2017-06-23
Aquahara Technology GmbH;2017-06-22
Die Frischemanufaktur GmbH;2017-06-22
Freework GmbH;2017-06-22
Giant Energy GmbH;2017-06-22
Motor Ai GmbH;2017-06-22
Neideck GmbH;2017-06-22
TOOL TIME GmbH;2017-06-22
UpsellGuru GmbH;2017-06-22
verlingo GmbH;2017-06-22
AJOO UG (haftungsbeschränkt);2017-06-21
BOTfriends GmbH;2017-06-21
HappyPo Products GmbH;2017-06-21
KARMA GmbH;2017-06-21
Parloa GmbH;2017-06-21
PrimeUp GmbH;2017-06-21
Raumtänzer GmbH;2017-06-21
RYTLE GmbH;2017-06-21
ScreenSource GmbH;2017-06-21
StackFuel GmbH;2017-06-21
TicketPAY Europe GmbH;2017-06-21
VP Venue Planner GmbH;2017-06-21
DELYS GmbH;2017-06-20
driveOS GmbH;2017-06-20
GraphCMS GmbH;2017-06-20
HEERO Sports GmbH;2017-06-20
HINAMIC GmbH;2017-06-20
Legendary Play GmbH;2017-06-20
Locis GmbH;2017-06-20
phil-vision GmbH;2017-06-20
Syncosmo GmbH;2017-06-20
Talenteco GmbH;2017-06-20
Technologisches Institut für angewandte Künstliche Intelligenz GmbH;2017-06-20
BEKA Scientific GmbH;2017-06-19
CN Drying Technology GmbH;2017-06-19
CYREEN GmbH;2017-06-19
FANSAT GmbH;2017-06-19
Fitivo Club GmbH & Co. KG;2017-06-19
Mindance GmbH;2017-06-19
neo campus GmbH;2017-06-19
Wall Rapture Germany GmbH;2017-06-19
Bau Digital GmbH;2017-06-16
JSCnets GmbH;2017-06-16
KONTORHAUS GÖRICKE UG (haftungsbeschränkt);2017-06-16
medzapp GmbH;2017-06-16
memetis GmbH;2017-06-16
Onwrks UG (haftungsbeschränkt);2017-06-16
Contech Energietechnik GmbH;2017-06-15
Tomorrow GmbH;2017-06-15
TWINNER GmbH;2017-06-15
Evy Solutions GmbH;2017-06-14
FiberBridge Photonics GmbH;2017-06-14
Getnow New GmbH;2017-06-14
onsovis GmbH;2017-06-14
ReiKo aproTex GmbH;2017-06-14
Rx Relation GmbH;2017-06-14
TOMKICK GmbH;2017-06-14
WERRTA GmbH Düsen- und Zerstäubungstechnik;2017-06-14
Abacus Laser GmbH;2017-06-13
A & G GmbH;2017-06-13
blik GmbH;2017-06-13
Pro Delight Food GmbH;2017-06-13
WSP-Soft GmbH;2017-06-13
blueAlpha GmbH;2017-06-12
EVOLUTIONIZER GmbH;2017-06-12
Feuer Software GmbH;2017-06-12
MML Solutions GmbH;2017-06-12
PAPA INTI UG (haftungsbeschränkt);2017-06-12
Speed Fresh GmbH;2017-06-12
GALWANI Schmuck GmbH;2017-06-11
JW-DMS GmbH & Co. KG;2017-06-10
THANKYOUJANE GmbH;2017-06-10
CogniX GmbH;2017-06-09
conCUBE GmbH;2017-06-09
CSI GmbH Concept Safety Innovations;2017-06-09
Flowflake GmbH;2017-06-09
SONAL Technologies UG (haftungsbeschränkt);2017-06-09
sustainabill GmbH;2017-06-09
1nce GmbH;2017-06-08
Allisa Software GmbH;2017-06-08
Ayursana GmbH;2017-06-08
FreizeitHeroes GmbH;2017-06-08
Joyblance UG (haftungsbeschränkt);2017-06-08
Matchday Nutrition GmbH;2017-06-08
Meadow Robotics GmbH;2017-06-08
OwnProvider GmbH;2017-06-08
Regio-Frischeportal GmbH;2017-06-08
basil kitchen UG (haftungsbeschränkt);2017-06-07
cabuu GmbH;2017-06-07
Forest Ring Games GmbH;2017-06-07
Soda Libre GmbH;2017-06-07
BESPACED UG (haftungsbeschränkt);2017-06-06
eviarc UG (haftungsbeschränkt);2017-06-06
evnbetter GmbH;2017-06-06
IDfant GmbH;2017-06-06
Kitext GmbH;2017-06-06
LAROMED GmbH;2017-06-06
WORKY GmbH;2017-06-06
curacell Klinik für Zelltherapie GmbH;2017-06-03
ecoCOAT GmbH;2017-06-02
freshminds GmbH;2017-06-02
greenited GmbH;2017-06-02
HoDforming GmbH;2017-06-02
Taunushelden GmbH;2017-06-02
Antegon GmbH;2017-06-01
Caruso GmbH;2017-06-01
Gaumenfreunde GmbH;2017-06-01
YFood Labs GmbH;2017-06-01
AKVIGO GmbH;2017-05-31
Liebach GmbH;2017-05-31
LIMUCAN GmbH;2017-05-31
MediCann Handels GmbH;2017-05-31
Speckmeister UG (haftungsbeschränkt);2017-05-31
Vegros GmbH;2017-05-31
Apkudo GmbH;2017-05-30
Bugfoundation GmbH;2017-05-30
CE Cell Engineering GmbH;2017-05-30
Communicate2Integrate GmbH;2017-05-30
Go Crush GmbH;2017-05-30
Iosis GmbH;2017-05-30
Medical Intelligent Solutions UG (haftungsbeschränkt);2017-05-30
MESHCLOUD GmbH;2017-05-30
Mipio Auction GmbH;2017-05-30
pieye GmbH;2017-05-30
SanoLiBio GmbH;2017-05-30
savesto GmbH;2017-05-30
smallstack GmbH;2017-05-30
CHAINSTEP GmbH;2017-05-29
Elipps GmbH;2017-05-29
Ethical Kids Fashion GmbH;2017-05-29
Parametric Support UG (haftungsbeschränkt);2017-05-29
purish GmbH;2017-05-29
SPACE-SPIRIT GmbH;2017-05-29
Tech-for-everyone GmbH;2017-05-29
transferiva UG (haftungsbeschränkt);2017-05-29
AVA Lifescience GmbH;2017-05-26
KLEO Connect GmbH;2017-05-26
PaxLife Innovations GmbH;2017-05-26
AI Analytical Innovations GmbH;2017-05-25
Artellium GmbH;2017-05-25
Stecnius GmbH;2017-05-25
TESTIFI GmbH;2017-05-25
Cloud7 GmbH;2017-05-24
Dutchview information technology GmbH;2017-05-24
envelio GmbH;2017-05-24
Influanza Marketing Services GmbH;2017-05-24
Infrasolid GmbH;2017-05-24
LARALAB GmbH;2017-05-24
MTE-Food Logistik GmbH;2017-05-24
powerMedia CRO Services GmbH;2017-05-24
SchröTeangers UG (haftungsbeschränkt);2017-05-24
Valuedesk GmbH;2017-05-24
welearn GmbH;2017-05-24
Bunny & Scott GmbH;2017-05-23
Ceden UG (haftungsbeschränkt);2017-05-23
fbb financial solutions GmbH;2017-05-23
Finhero UG (haftungsbeschränkt);2017-05-23
Humanizing Technologies GmbH;2017-05-23
J U P Composites GmbH;2017-05-23
Metaverse School GmbH;2017-05-23
Rankwerk UG (haftungsbeschränkt);2017-05-23
ROBOTISE AG;2017-05-23
AbSys accounting software;2017-05-22
Cosmication GmbH;2017-05-22
elliptic GmbH;2017-05-22
Granola Studios GmbH;2017-05-22
LawPilots GmbH;2017-05-22
magineer Lighting GmbH;2017-05-22
sleeperoo GmbH;2017-05-22
sober care GmbH;2017-05-22
vriction GmbH;2017-05-22
XBAG GmbH;2017-05-22
ELIXR GmbH;2017-05-20
SofKore GmbH;2017-05-20
ambisone GmbH;2017-05-19
Bobbie Deutschland GmbH;2017-05-19
everlean UG (haftungsbeschränkt);2017-05-19
Fashioncircle.de Operations UG (haftungsbeschränkt);2017-05-19
Four Up UG (haftungsbeschränkt);2017-05-19
Infinitystacks UG (haftungsbeschränkt);2017-05-19
ioBroker Services GmbH;2017-05-19
Lampertz GmbH;2017-05-19
MERSOR GmbH;2017-05-19
ph3D GmbH;2017-05-19
Smartdetails UG (haftungsbeschränkt);2017-05-19
Stream ML UG (haftungsbeschränkt);2017-05-19
CouchPotatoZ GmbH;2017-05-18
Fair Friend UG (haftungsbeschränkt);2017-05-18
Kato Applications GmbH;2017-05-18
LinguSocial GmbH;2017-05-18
LUCIAMO GmbH;2017-05-18
MOBIKO GmbH;2017-05-18
NLS Innovations GmbH;2017-05-18
Orbasics GmbH;2017-05-18
Rheinpharma GmbH;2017-05-18
Treffler & Bachseits Vermögensverwaltung GmbH;2017-05-18
Advance.Football GmbH;2017-05-17
CODE2ORDER GmbH;2017-05-17
ELSA GmbH;2017-05-17
e-sensio GmbH;2017-05-17
flightcomp.de GmbH;2017-05-17
fruitcore robotics GmbH;2017-05-17
Herkenhoff Naturprodukte GmbH & Co. KG;2017-05-17
HOSS GmbH;2017-05-17
Hotech - Hotel Technology Ecosystem GmbH;2017-05-17
LAQA GmbH;2017-05-17
Momunity GmbH;2017-05-17
Neuro Token Development UG (haftungsbeschränkt);2017-05-17
Parovo GmbH;2017-05-17
Patricia Genomics GmbH;2017-05-17
PICNOIR GmbH;2017-05-17
Pistenbock GmbH;2017-05-17
ValYouBel GmbH & Co. KG;2017-05-17
WeeGee UG (haftungsbeschränkt);2017-05-17
WirMag GmbH;2017-05-17
AKISO GmbH & Co. KG;2017-05-16
Denton Systems GmbH;2017-05-16
EveryAir AG;2017-05-16
Foodnova GmbH;2017-05-16
megeo UG (haftungsbeschränkt);2017-05-16
Miratag GmbH;2017-05-16
Neurofelix Handels GmbH;2017-05-16
ShiftLeft GmbH;2017-05-16
sigo GmbH;2017-05-16
Smart Industries GmbH;2017-05-16
Sofilab UG (haftungsbeschränkt);2017-05-16
BF Coach GmbH & Co. KG;2017-05-15
Eucan GmbH;2017-05-15
Eurelius GmbH;2017-05-15
HaterCater UG (haftungsbeschränkt);2017-05-15
Immo Corporation GmbH;2017-05-15
Modern Me GmbH;2017-05-15
Unlimdo GmbH & Co. KG;2017-05-15
Vuno GmbH;2017-05-15
YAPU Solutions GmbH;2017-05-15
AEQUIFIN GmbH & Co. KGaA;2017-05-12
CleverMatch GmbH;2017-05-12
Floribus digital UG (haftungsbeschränkt);2017-05-12
frogblue AG;2017-05-12
Housy GmbH;2017-05-12
I-Stone GmbH;2017-05-12
jetlite GmbH;2017-05-12
One Coworking UG (haftungsbeschränkt);2017-05-12
Redwave Medical GmbH;2017-05-12
VZ Networks GmbH;2017-05-12
AEGIS IT RESEARCH GmbH;2017-05-11
ApiTree GmbH;2017-05-11
Convex Energy GmbH;2017-05-11
DEMECAN GmbH;2017-05-11
ELAN PET Products GmbH;2017-05-11
GOURMY GmbH;2017-05-11
Kindsgut GmbH;2017-05-11
PENTA Entertainment UG (haftungsbeschränkt);2017-05-11
Studo GmbH;2017-05-11
alphin GmbH;2017-05-10
covibo GmbH;2017-05-10
EvoFintech GmbH;2017-05-10
FeedAd GmbH;2017-05-10
Kusanagi Games GmbH;2017-05-10
pragmatic industries GmbH;2017-05-10
REWATRON GmbH;2017-05-10
100 Worte Sprachanalyse GmbH;2017-05-09
BABLE GmbH;2017-05-09
betterHR GmbH;2017-05-09
Climedo Health GmbH;2017-05-09
Compos Mentis GmbH;2017-05-09
Eurotec Innovation GmbH;2017-05-09
Finklyn GmbH;2017-05-09
Kameleoon GmbH;2017-05-09
MHK Systems GmbH;2017-05-09
Primera Entertainment GmbH;2017-05-09
S⁴ - Smart Small Satellite Systems GmbH;2017-05-09
spivo GmbH;2017-05-09
Who's Jack GmbH;2017-05-09
DyNAbind GmbH;2017-05-08
Eigensonne GmbH;2017-05-08
FINN Design UG (haftungsbeschränkt);2017-05-08
IMPARGO GmbH;2017-05-08
Interactive Pioneers Solutions GmbH;2017-05-08
Mindtainr - Industrial Machine Intelligence GmbH;2017-05-08
Nect GmbH;2017-05-08
Sixonia Tech GmbH;2017-05-08
WearHealth UG (haftungsbeschränkt);2017-05-08
Bloom Beauty GmbH;2017-05-06
Cobie GmbH;2017-05-06
Sunbloom Proteins GmbH;2017-05-06
Accemic Technologies GmbH;2017-05-05
BKDigiTech UG (haftungsbeschränkt);2017-05-05
Cansativa GmbH;2017-05-05
Convanic GmbH;2017-05-05
FLUSTIX GmbH;2017-05-05
Franz-Xaver und de Otters UG (haftungsbeschränkt);2017-05-05
HERZLACK GmbH;2017-05-05
IBP GmbH;2017-05-05
Jori Group GmbH;2017-05-05
keyp GmbH;2017-05-05
NOVV FOODS GmbH;2017-05-05
Softspace UG (haftungsbeschränkt);2017-05-05
StoreBoost Advertising Technologies GmbH;2017-05-05
Vegandix UG (haftungsbeschränkt);2017-05-05
1SL GmbH;2017-05-04
Equilumen UG (haftungsbeschränkt);2017-05-04
Jopindo GmbH;2017-05-04
Lift Technology GmbH;2017-05-04
button me UG (haftungsbeschränkt);2017-05-03
cultouri GmbH;2017-05-03
Freispur GmbH;2017-05-03
GOODINO GmbH;2017-05-03
GREY Berlin GmbH;2017-05-03
KiDoPlay GmbH;2017-05-03
mio-olio GmbH;2017-05-03
TiMMi Transport GmbH;2017-05-03
YOMA Solutions GmbH;2017-05-03
Beovita Vital GmbH;2017-05-02
MindServ GmbH;2017-05-02
Keepsafe Europe GmbH;2017-04-29
Nagoon GmbH;2017-04-29
up2u GmbH;2017-04-29
Alsensio GmbH;2017-04-28
friedl & habermann GmbH;2017-04-28
gigaaa Innovation GmbH;2017-04-28
Green Mind Nutrition GmbH;2017-04-28
Laminate Medical Technologies GmbH;2017-04-28
Matilicious GmbH;2017-04-28
MeinAlarm24 GmbH;2017-04-28
Predator Food GmbH;2017-04-28
Professional360 GmbH;2017-04-28
share GmbH;2017-04-28
Trust your food GmbH;2017-04-28
wait2go GmbH;2017-04-28
Xayn AG;2017-04-28
10users GmbH;2017-04-27
Black Drop Biodrucker GmbH;2017-04-27
covexo GmbH;2017-04-27
Detectum Europe GmbH;2017-04-27
ecm:one GmbH;2017-04-27
Friendsitting GmbH;2017-04-27
gasido GmbH;2017-04-27
Gorilla Logistics GmbH;2017-04-27
Holi Me GmbH;2017-04-27
Julie Soléy GmbH;2017-04-27
Sauerland Distillers GmbH;2017-04-27
Sys-Rack UG (haftungsbeschränkt);2017-04-27
Tawny GmbH;2017-04-27
wisefood GmbH;2017-04-27
Conntac GmbH;2017-04-26
planA.earth GmbH;2017-04-26
Urban Ground GmbH;2017-04-26
VON ERDLING GmbH;2017-04-26
Boraglas GmbH;2017-04-25
CORACLE GmbH;2017-04-25
Dr. Giemza Holding GmbH;2017-04-25
EDOMO Systems GmbH;2017-04-25
Genevention GmbH;2017-04-25
HeyChefMe UG (haftungsbeschränkt);2017-04-25
HP Heizkosten Plattform GmbH;2017-04-25
HS-DynaX5 Cam Solution GmbH;2017-04-25
iiRobotics UG (haftungsbeschränkt);2017-04-25
lifespin GmbH;2017-04-25
Mad Dukes Brewery GmbH;2017-04-25
Matrixworks GmbH;2017-04-25
ME Mobile Education GmbH;2017-04-25
Nightguider UG (haftungsbeschränkt);2017-04-25
PropTechTools GmbH;2017-04-25
Sechzisch Vierzisch GmbH;2017-04-25
Wengao GmbH;2017-04-25
WR digital GmbH;2017-04-25
Birgus GmbH;2017-04-24
Cham Saar GmbH;2017-04-24
DIVISIO GmbH;2017-04-24
Due AI GmbH;2017-04-24
ki elements UG (haftungsbeschränkt);2017-04-24
MAIN Parts GmbH;2017-04-24
MG Magnific Games GmbH;2017-04-24
raccoon foods GmbH;2017-04-24
Roadfans GmbH;2017-04-24
ORNO GmbH;2017-04-22
bena GmbH;2017-04-21
CAPTIQ GmbH;2017-04-21
Einy Deutschland GmbH;2017-04-21
MASTware UG (haftungsbeschränkt);2017-04-21
Qlex GmbH;2017-04-21
Strival GmbH;2017-04-21
AI Golf UG (haftungsbeschränkt);2017-04-20
Bleenco GmbH;2017-04-20
Evil Grog Games GmbH;2017-04-20
FEFLOGX GmbH;2017-04-20
grünerdüngen GmbH;2017-04-20
license.rocks GmbH;2017-04-20
Minerva AS GmbH;2017-04-20
MUNICH ARTIFICIAL INTELLIGENCE LABORATORIES GmbH;2017-04-20
NV Tech Design GmbH;2017-04-20
StepFormation GmbH;2017-04-20
Sunshine Software Development GmbH;2017-04-20
Viamonda GmbH;2017-04-20
Weeve GmbH;2017-04-20
WinKaze GmbH;2017-04-20
AkknaTek GmbH;2017-04-19
betterEco GmbH;2017-04-19
Comfexy GmbH;2017-04-19
cyan AG;2017-04-19
German Bionic Systems GmbH;2017-04-19
mtosch Webentwicklung UG (haftungsbeschränkt);2017-04-19
Mynaric AG;2017-04-19
nativou UG (haftungsbeschränkt);2017-04-19
Scicovery GmbH;2017-04-19
Willhelm Technologies GmbH;2017-04-19
bitmeister GmbH;2017-04-18
searchVIU GmbH;2017-04-18
Stavo-Anlagen GmbH;2017-04-18
Qolware GmbH;2017-04-14
40three GmbH;2017-04-13
benefactions GmbH;2017-04-13
Infobip GmbH;2017-04-13
KUNA interactive UG (haftungsbeschränkt);2017-04-13
MIRell Photonics GmbH;2017-04-13
Nerdlichter Consulting GmbH;2017-04-13
neuro-sol UG (haftungsbeschränkt);2017-04-13
SalesViewer GmbH;2017-04-13
Spotloq UG (haftungsbeschränkt);2017-04-13
Weltenmacher GmbH;2017-04-13
INCREASE YOUR SKILLS GmbH;2017-04-12
IP Gloves GmbH;2017-04-12
JBnSE Service GmbH;2017-04-12
LISSOME UG (haftungsbeschränkt);2017-04-12
MIRR Motion Tec UG (haftungsbeschränkt);2017-04-12
SECI.solutions UG (haftungsbeschränkt);2017-04-12
TodaVida UG (haftungsbeschränkt);2017-04-12
Walbing Marketplace GmbH;2017-04-12
dearemployee GmbH;2017-04-11
IDEAL PHARMA PEPTIDE GmbH;2017-04-11
INFLURY GmbH;2017-04-11
SHC Software GmbH;2017-04-11
understandAI GmbH;2017-04-11
Delivery Hero HF Kitchens GmbH;2017-04-10
elfolion GmbH;2017-04-10
godspot GmbH;2017-04-10
playloop UG (haftungsbeschränkt);2017-04-10
SELEGGT GmbH;2017-04-10
SMART Money Software GmbH;2017-04-10
badges2go UG (haftungsbeschränkt);2017-04-07
Digital Apartment GmbH;2017-04-07
fuentis AG;2017-04-07
info-wall UG (haftungsbeschränkt);2017-04-07
Presch Tools GmbH;2017-04-07
Relax Products GmbH;2017-04-07
Urban Crudes UG (haftungsbeschränkt);2017-04-07
Veganex GmbH & Co. KG;2017-04-07
GIAF GmbH;2017-04-06
HEYDO Apps GmbH;2017-04-06
imiji GmbH;2017-04-06
JET CEUTICALS GmbH;2017-04-06
MOD Devices GmbH;2017-04-06
Podigee GmbH;2017-04-06
Yuanda Robotics GmbH;2017-04-06
Chatterbug GmbH;2017-04-05
EichenCredit GmbH;2017-04-05
frizle fresh foods AG;2017-04-05
GetTechTalent GmbH;2017-04-05
peak sales GmbH;2017-04-05
PREMIUM ROBOTICS GmbH;2017-04-05
Bitradio GmbH;2017-04-04
faimo sports GmbH;2017-04-04
iBOSS GmbH;2017-04-04
Job Atlas UG (haftungsbeschränkt);2017-04-04
Moogsoft GmbH;2017-04-04
Urlaubstracker GmbH;2017-04-04
24geeks UG (haftungsbeschränkt);2017-04-03
Cosyworld GmbH;2017-04-03
Crystal Solutions Data Services GmbH;2017-04-03
Edutron GmbH;2017-04-03
